N,p,density,time subpre,gap subpre,time pre,gap pre,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp,cuts added,cuts pre,cuts pos
20,5,1,36,0.3,360,0.3,1,1402.18,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,749524,9587,549,9038
20,5,1,36,0.3,360,0.3,2,2480.61,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1223326,15270,356,14914
20,5,1,36,0.3,360,0.3,3,641.62,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,338336,6676,363,6313
20,5,1,36,0.3,360,0.3,4,1636.52,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,912775,11164,321,10843
20,5,1,36,0.3,360,0.3,5,1137.29,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,629762,9239,465,8774
20,5,1,36,0.3,360,0.7,1,1116.25,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,833306,9604,4,9600
20,5,1,36,0.3,360,0.7,2,3003.93,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1436829,15284,1,15283
20,5,1,36,0.3,360,0.7,3,339.06,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,338716,6667,1,6666
20,5,1,36,0.3,360,0.7,4,1573.69,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,960107,11165,6,11159
20,5,1,36,0.3,360,0.7,5,845.21,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,634325,9183,1,9182
