;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;50;1;12;1;102.34;27.51;31.82;27.51;3600.0349855422974;11.25;5.56;5.56;7.67;7.67;0;NO;879
1;2;50;1;12;1;265.22;64.02;23.91;27.51;3600.710874557495;10.08;2.76;5.56;7.67;7.67;0;345114.0;15699
2;1;50;1;12;2;85.69;20.51;32.25;20.51;3600.052759170532;9.21;4.96;4.96;6.24;6.24;0;NO;695
3;2;50;1;12;2;169.23;52.08;22.48;20.51;3600.35671043396;8.05;2.99;4.96;6.24;6.24;0;253910.0;15339
4;1;50;1;12;3;142.12;27.5;43.03;27.5;3600.04988694191;12.13;5.01;5.01;6.91;6.91;0;NO;754
5;2;50;1;12;3;229.11;57.74;28.1;27.5;3600.4271450042725;9.61;2.92;5.01;6.91;6.91;0;288196.0;13885
6;1;50;1;12;4;168.12;29.47;47.12;29.47;3600.057042360306;13.54;5.05;5.05;7.16;7.16;0;NO;634
7;2;50;1;12;4;284.9;58.38;37.58;29.47;3600.2558250427246;11.47;2.98;5.05;7.16;7.16;0;341100.0;14718
8;1;50;1;12;5;134.21;24.22;43.66;24.22;3600.071311235428;12.53;5.35;5.35;7.06;7.06;0;NO;690
9;2;50;1;12;5;248.73;55.24;35.93;24.22;3600.806583404541;11.02;3.16;5.35;7.06;7.06;0;326629.0;12702
