N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp,cuts added
20,5,1,1,3600.02,13.9,9.33,9.33,12.95,12.95,48.98,27.95,6.83,27.95,0,NO,1753
20,5,1,2,3600.01,23.3,16.79,16.79,20.45,20.45,38.77,17.9,12.23,17.9,0,NO,1545
20,5,1,3,3600.01,10.6,8.82,8.82,10.6,10.6,20.18,16.79,0,16.79,0,NO,1615
20,5,1,4,3600.02,13.75,9.73,9.73,13.75,13.75,41.32,29.24,0,29.24,0,NO,1511
20,5,1,5,3600.02,17.35,11.13,11.13,12.7,12.7,55.88,12.36,26.8,12.36,0,NO,1478
20,6,1,1,3600.01,11.15,6.32,6.32,10.1,10.1,76.42,37.43,9.42,37.43,0,NO,1791
20,6,1,2,3600.02,9.65,8.06,8.06,9.25,9.25,19.73,12.86,4.15,12.86,0,NO,1484
20,6,1,3,3600.02,15.8,11.03,11.03,15.1,15.1,43.25,26.95,4.43,26.95,0,NO,1740
20,6,1,4,3600.01,18.8,12.07,12.07,16.25,16.25,55.76,25.72,13.56,25.72,0,NO,1616
20,6,1,5,3600.02,13.1,10.76,10.76,13.1,13.1,21.75,17.86,0,17.86,0,NO,1641
20,10,1,1,3600.02,11.29,6.15,6.15,7.06,7.06,83.58,12.89,37.47,12.89,0,NO,1977
20,10,1,2,3600.03,13.22,8.3,8.3,9.81,9.81,59.28,15.39,25.79,15.39,0,NO,1857
20,10,1,3,3600.02,11.47,7.38,7.38,10.21,10.21,55.42,27.72,10.99,27.72,0,NO,1977
20,10,1,4,3600.03,10.48,6.71,6.71,8.06,8.06,56.18,16.75,23.09,16.75,0,NO,1937
20,10,1,5,3600.03,17.92,10.1,10.1,11.64,11.64,77.43,13.23,35.04,13.23,0,NO,1734
30,7,1,1,3600.04,20,10.1,10.1,14.2,14.2,98.02,28.87,29,28.87,0,NO,1026
30,7,1,2,3600.05,15.2,10.16,10.16,14.4,14.4,49.61,29.44,5.26,29.44,0,NO,1123
30,7,1,3,3600.05,14.27,9.51,9.51,12.43,12.43,50.05,23.49,12.89,23.49,0,NO,1022
30,7,1,4,3600.03,12.27,9.2,9.2,11.57,11.57,33.37,20.48,5.7,20.48,0,NO,1136
30,7,1,5,3600.03,15.8,9.17,9.17,11.97,11.97,72.3,23.39,24.24,23.39,0,NO,1057
30,10,1,1,3600.03,11.63,5.8,5.8,7.21,7.21,100.52,19.56,38.01,19.56,0,NO,1333
30,10,1,2,3600.03,10.76,5.62,5.62,6.9,6.9,91.46,18.55,35.87,18.55,0,NO,1284
30,10,1,3,3600.03,7.43,5.24,5.24,6.44,6.44,41.79,18.63,13.32,18.63,0,NO,1547
30,10,1,4,3600.04,7.61,5.73,5.73,6.88,6.88,32.81,16.72,9.59,16.72,0,NO,1435
30,10,1,5,3600.05,13.19,6.44,6.44,8.33,8.33,104.81,22.69,36.85,22.69,0,NO,1220
30,15,1,1,3600.05,8.06,4.32,4.32,5.01,5.01,86.57,13.77,37.84,13.77,0,NO,1748
30,15,1,2,3600.03,10.37,4.87,4.87,5.79,5.79,112.94,15.89,44.17,15.89,0,NO,1308
30,15,1,3,3600.05,9.55,5.39,5.39,5.62,5.62,77.18,4.09,41.15,4.09,0,NO,1321
30,15,1,4,3600.02,9.62,5.28,5.28,6.5,6.5,82.2,18.77,32.43,18.77,0,NO,1576
30,15,1,5,3600.02,9.26,5.26,5.26,6.62,6.62,76.05,20.54,28.51,20.54,0,NO,1862
40,10,1,1,3600.09,11.02,6.68,6.68,8.34,8.34,64.97,19.9,24.32,19.9,0,NO,839
40,10,1,2,3600.06,14.01,7.57,7.57,9.63,9.63,85.07,21.39,31.26,21.39,0,NO,921
40,10,1,3,3600.03,10.88,6.27,6.27,8.04,8.04,73.52,22.01,26.1,22.01,0,NO,897
40,10,1,4,3600.04,7.59,5.58,5.58,6.74,6.74,36.02,17.21,11.2,17.21,0,NO,1073
40,10,1,5,3600.06,14.48,7.23,7.23,9.04,9.04,100.28,20.02,37.57,20.02,0,NO,828
40,13,1,1,3600.04,11.28,5.46,5.46,6.79,6.79,106.59,19.59,39.8,19.59,0,NO,1695
40,13,1,2,3600.05,10.63,5.79,5.79,7.35,7.35,83.59,21.22,30.86,21.22,0,NO,1112
40,13,1,3,3600.05,9.12,4.94,4.94,6.7,6.7,84.62,26.27,26.54,26.27,0,NO,1325
40,13,1,4,3600.03,9.19,4.87,4.87,6.22,6.22,88.71,21.7,32.32,21.7,0,NO,1606
40,13,1,5,3600.03,12.5,6.22,6.22,8.19,8.19,100.96,24.05,34.48,24.05,0,NO,1040
40,20,1,1,3600.03,7.45,4.02,4.02,4.71,4.71,85.32,14.65,36.78,14.65,0,NO,1265
40,20,1,2,3600.05,8.83,4.46,4.46,5.16,5.16,97.98,13.57,41.56,13.57,0,NO,3545
40,20,1,3,3600.06,6.89,4.06,4.06,4.76,4.76,69.7,14.71,30.91,14.71,0,NO,1734
40,20,1,4,3600.07,8.41,4.19,4.19,4.86,4.86,100.72,13.79,42.21,13.79,0,NO,1394
40,20,1,5,3600.05,8.09,4.3,4.3,4.99,4.99,88.14,13.83,38.32,13.83,0,NO,2898
50,12,1,1,3600.03,11.25,5.56,5.56,7.67,7.67,102.34,27.51,31.82,27.51,0,NO,879
50,12,1,2,3600.05,9.21,4.96,4.96,6.24,6.24,85.69,20.51,32.25,20.51,0,NO,695
50,12,1,3,3600.05,12.13,5.01,5.01,6.91,6.91,142.12,27.5,43.03,27.5,0,NO,754
50,12,1,4,3600.06,13.54,5.05,5.05,7.16,7.16,168.12,29.47,47.12,29.47,0,NO,634
50,12,1,5,3600.07,12.53,5.35,5.35,7.06,7.06,134.21,24.22,43.66,24.22,0,NO,690
50,16,1,1,3600.06,10.48,5.44,5.44,6.09,6.09,92.65,10.67,41.89,10.67,0,NO,822
50,16,1,2,3600.09,12.09,5.06,5.06,6.1,6.1,138.93,17.05,49.55,17.05,0,NO,885
50,16,1,3,3600.04,8.89,4.5,4.5,5.5,5.5,97.56,18.18,38.13,18.18,0,NO,670
50,16,1,4,3600.09,8.51,4.31,4.31,5.06,5.06,97.45,14.82,40.54,14.82,0,NO,756
50,16,1,5,3600.04,8.37,4.87,4.87,5.58,5.58,71.87,12.72,33.33,12.72,0,NO,929
50,25,1,1,3600.06,7.78,4.52,4.52,5.01,5.01,72.12,9.78,35.6,9.78,0,NO,1614
50,25,1,2,3600.05,8.15,3.34,3.34,3.87,3.87,144.01,13.7,52.52,13.7,0,NO,2400
50,25,1,3,3600.05,5.66,2.82,2.82,3.38,3.38,100.71,16.57,40.28,16.57,0,NO,2082
50,25,1,4,3600.05,6.99,3.66,3.66,4.2,4.2,90.98,12.86,39.91,12.86,0,NO,1257
50,25,1,5,3600.09,8.85,4.02,4.02,4.69,4.69,120.15,14.29,47.01,14.29,0,NO,2284
