N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp,cuts added
20,5,1,1,438.18,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,695039.0,9576
20,5,1,2,1855.61,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1409457.0,15272
20,5,1,3,284.61,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,439318.0,6689
20,5,1,4,896.62,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,1016595.0,11160
20,5,1,5,443.15,12.7,12.7,11.13,12.7,12.7,0,0,0,12.36,1,641413.0,8990
20,6,1,1,3600.5,10.1,9.2,6.32,10.1,10.1,9.78,8.91,0,37.43,0,1196839.0,33820
20,6,1,2,2196.25,9.25,9.25,8.06,9.25,9.25,0,0,0,12.86,1,1032316.0,21252
20,6,1,3,3600.15,15.1,11.35,11.03,15.1,15.1,33.04,24.83,0,26.95,0,1474303.0,31428
20,6,1,4,3600.07,16.25,12.1,12.07,16.25,16.25,34.3,25.54,0,25.72,0,1463035.0,34680
20,6,1,5,3190.53,13.1,13.1,10.76,13.1,13.1,0,0,0,17.86,1,1511495.0,31909
20,10,1,1,3600.29,7.85,3.15,6.15,7.06,7.06,149.21,55.38,10.06,12.89,0,542263.0,63402
20,10,1,2,3600.37,10.13,3.85,8.3,9.81,9.81,163.12,60.75,3.16,15.39,0,757916.0,44388
20,10,1,3,3600.29,10.33,2.85,7.38,10.21,10.21,262.46,72.09,1.16,27.72,0,576935.0,48132
20,10,1,4,3600.13,8.81,2.88,6.71,8.06,8.06,205.9,64.27,8.51,16.75,0,540357.0,49981
20,10,1,5,3600.18,14.32,4.6,10.1,11.64,11.64,211.3,60.48,18.72,13.23,0,602592.0,46319
30,7,1,1,3600.2,18.3,7.57,10.1,14.2,14.2,141.74,46.69,22.4,28.87,0,953699.0,14874
30,7,1,2,3600.3,15.2,6.82,10.16,14.4,14.4,122.87,52.64,5.26,29.44,0,790073.0,16560
30,7,1,3,3600.23,12.83,6.83,9.51,12.43,12.43,87.85,45.05,3.12,23.49,0,826676.0,16712
30,7,1,4,3600.22,12.27,6.72,9.2,11.57,11.57,82.59,41.92,5.7,20.48,0,838310.0,17891
30,7,1,5,3600.18,13.13,6.79,9.17,11.97,11.97,93.37,43.27,8.83,23.39,0,830553.0,16595
30,10,1,1,3600.4,7.57,3.3,5.8,7.21,7.21,129.39,54.23,4.76,19.56,0,553194.0,26347
