;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored;Cuts added
0;1;20;1;5;1;50.59;27.95;7.83;27.95;3600.0241088867188;14.05;9.33;9.33;12.95;12.95;0;NO;484
1;2;20;1;5;1;10.21;9.27;0.0;27.95;3600.071189880371;12.95;11.75;9.33;12.95;12.95;0;904213.0;9516
2;1;20;1;5;2;39.96;17.9;12.98;17.9;3600.0339789390564;23.5;16.79;16.79;20.45;20.45;0;NO;443
3;2;20;1;5;2;48.73;32.76;0.0;17.9;3600.043035507202;20.45;13.75;16.79;20.45;20.45;0;733347.0;8692
4;1;20;1;5;3;33.79;16.79;10.17;16.79;3600.0855169296265;11.8;8.82;8.82;10.6;10.6;0;NO;480
5;2;20;1;5;3;0.0;0.0;0.0;16.79;1152.4302253723145;10.6;10.6;8.82;10.6;10.6;1;571996.0;6703
6;1;20;1;5;4;41.32;29.24;0.0;29.24;3600.031627178192;13.75;9.73;9.73;13.75;13.75;0;NO;490
7;2;20;1;5;4;28.5;22.18;0.0;29.24;3600.090867996216;13.75;10.7;9.73;13.75;13.75;0;1267277.0;8794
8;1;20;1;5;5;101.97;12.28;43.56;12.28;3600.0806925296783;22.5;11.14;11.14;12.7;12.7;0;NO;354
9;2;20;1;5;5;0.0;0.0;0.0;12.36;2759.209596633911;12.7;12.7;11.13;12.7;12.7;1;848565.0;9102
