N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp,cuts added
20,5,1,1,3600.02,14.05,9.33,9.33,12.95,12.95,50.59,27.95,7.83,27.95,0,NO,484
20,5,1,2,3600.03,23.5,16.79,16.79,20.45,20.45,39.96,17.9,12.98,17.9,0,NO,443
20,5,1,3,3600.09,11.8,8.82,8.82,10.6,10.6,33.79,16.79,10.17,16.79,0,NO,480
20,5,1,4,3600.03,13.75,9.73,9.73,13.75,13.75,41.32,29.24,0,29.24,0,NO,490
20,5,1,5,3600.08,22.5,11.14,11.14,12.7,12.7,101.97,12.28,43.56,12.28,0,NO,354
20,6,1,1,3600.03,12.05,6.32,6.32,10.1,10.1,90.66,37.43,16.18,37.43,0,NO,688
20,6,1,2,3600.03,9.65,8.06,8.06,9.25,9.25,19.73,12.86,4.15,12.86,0,NO,541
20,6,1,3,3600.05,16,11.03,11.03,15.1,15.1,45.06,26.95,5.63,26.95,0,NO,576
20,6,1,4,3600.03,19.05,12.07,12.07,16.25,16.25,57.83,25.72,14.7,25.72,0,NO,513
20,6,1,5,3600.03,16,10.76,10.76,13.1,13.1,48.7,17.86,18.13,17.86,0,NO,441
20,10,1,1,3600.06,12.58,6.15,6.15,7.06,7.06,104.55,12.89,43.88,12.89,0,NO,948
20,10,1,2,3600.03,13.51,8.3,8.3,9.81,9.81,62.77,15.39,27.39,15.39,0,NO,778
20,10,1,3,3600.02,12.48,7.38,7.38,10.21,10.21,69.11,27.72,18.19,27.72,0,NO,939
20,10,1,4,3600.04,10.72,6.71,6.71,8.06,8.06,59.76,16.75,24.81,16.75,0,NO,1009
20,10,1,5,3600.04,18.22,10.1,10.1,11.64,11.64,80.4,13.23,36.11,13.23,0,NO,806
30,7,1,1,3600.09,24.4,10.1,10.1,14.2,14.2,141.58,28.87,41.8,28.87,0,NO,115
30,7,1,2,3600.16,15.83,10.16,10.16,14.4,14.4,55.81,29.44,9.03,29.44,0,NO,140
30,7,1,3,3600.14,14.27,9.51,9.51,12.43,12.43,50.05,23.49,12.89,23.49,0,NO,111
30,7,1,4,3600.1,17.33,9.2,9.2,11.57,11.57,88.37,20.48,33.24,20.48,0,NO,156
30,7,1,5,3600.14,18.7,9.17,9.17,11.97,11.97,103.93,23.39,35.99,23.39,0,NO,132
30,10,1,1,3600.15,11.66,5.8,5.8,7.21,7.21,101.03,19.56,38.16,19.56,0,NO,223
30,10,1,2,3600.18,10.76,5.62,5.62,6.9,6.9,91.46,18.55,35.87,18.55,0,NO,333
30,10,1,3,3600.08,7.89,5.24,5.24,6.44,6.44,50.57,18.63,18.38,18.63,0,NO,339
30,10,1,4,3600.11,8.91,5.73,5.73,6.88,6.88,55.5,16.72,22.78,16.72,0,NO,361
30,10,1,5,3600.11,16.39,6.44,6.44,8.33,8.33,154.5,22.69,49.18,22.69,0,NO,281
30,15,1,1,3600.19,8.38,4.32,4.32,5.01,5.01,93.98,13.77,40.21,13.77,0,NO,524
30,15,1,2,3600.22,11.02,4.87,4.87,5.79,5.79,126.28,15.89,47.46,15.89,0,NO,458
30,15,1,3,3600.1,10.3,5.39,5.39,5.62,5.62,91.09,4.09,45.44,4.09,0,NO,442
30,15,1,4,3600.29,10.09,5.28,5.28,6.5,6.5,91.1,18.77,35.58,18.77,0,NO,373
30,15,1,5,3600.1,9.69,5.26,5.26,6.62,6.62,84.22,20.54,31.68,20.54,0,NO,400
40,10,1,1,3600.6,14.1,6.68,6.68,8.34,8.34,111.08,19.9,40.85,19.9,0,NO,71
40,10,1,2,3600.67,18.06,7.57,7.57,9.63,9.63,138.57,21.39,46.68,21.39,0,NO,68
40,10,1,3,3600.6,12.62,6.27,6.27,8.04,8.04,101.28,22.01,36.29,22.01,0,NO,74
40,10,1,4,3600.97,8.39,5.58,5.58,6.74,6.74,50.36,17.21,19.67,17.21,0,NO,94
40,10,1,5,3600.33,15.37,7.23,7.23,9.04,9.04,112.59,20.02,41.18,20.02,0,NO,84
40,13,1,1,3600.35,11.83,5.46,5.46,6.79,6.79,116.67,19.59,42.6,19.59,0,NO,137
40,13,1,2,3600.64,13.14,5.79,5.79,7.35,7.35,126.94,21.22,44.06,21.22,0,NO,115
40,13,1,3,3600.27,11.73,4.94,4.94,6.7,6.7,137.45,26.27,42.88,26.27,0,NO,111
40,13,1,4,3600.71,9.19,4.87,4.87,6.22,6.22,88.71,21.7,32.32,21.7,0,NO,128
40,13,1,5,3600.33,13.29,6.22,6.22,8.19,8.19,113.67,24.05,38.37,24.05,0,NO,103
40,20,1,1,3600.61,7.47,4.02,4.02,4.71,4.71,85.82,14.65,36.95,14.65,0,NO,157
40,20,1,2,3600.69,9.49,4.46,4.46,5.16,5.16,112.78,13.57,45.63,13.57,0,NO,212
40,20,1,3,3600.53,8.34,4.06,4.06,4.76,4.76,105.42,14.71,42.93,14.71,0,NO,180
40,20,1,4,3600.24,9.09,4.19,4.19,4.86,4.86,116.95,13.79,46.53,13.79,0,NO,178
40,20,1,5,3600.52,8.64,4.3,4.3,4.99,4.99,100.93,13.83,42.25,13.83,0,NO,228
