N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp,cuts added
20,5,1,1,3600.07,12.95,11.75,9.33,12.95,12.95,10.21,9.27,0,27.95,0,904213.0,9516
20,5,1,2,3600.04,20.45,13.75,16.79,20.45,20.45,48.73,32.76,0,17.9,0,733347.0,8692
20,5,1,3,1152.43,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,571996.0,6703
20,5,1,4,3600.09,13.75,10.7,9.73,13.75,13.75,28.5,22.18,0,29.24,0,1267277.0,8794
20,5,1,5,2759.21,12.7,12.7,11.13,12.7,12.7,0,0,0,12.36,1,848565.0,9102
20,6,1,1,3600.2,10.9,5.5,6.32,10.1,10.1,98.18,45.54,7.34,37.43,0,653013.0,14927
20,6,1,2,3600.3,9.25,7.7,8.06,9.25,9.25,20.13,16.76,0,12.86,0,813230.0,15836
20,6,1,3,3600.66,15.25,8.7,11.03,15.1,15.1,75.29,42.38,0.98,26.95,0,725523.0,13674
20,6,1,4,3600.13,17.15,8.9,12.07,16.25,16.25,92.7,45.23,5.25,25.72,0,578868.0,13126
20,6,1,5,3600.12,13.1,9.29,10.76,13.1,13.1,41.01,29.08,0,17.86,0,550596.0,14293
20,10,1,1,3600.49,10.33,2.6,6.15,7.06,7.06,297.31,63.17,31.66,12.89,0,428136.0,25365
20,10,1,2,3600.42,10.83,3.15,8.3,9.81,9.81,243.81,67.89,9.42,15.39,0,521481.0,22445
20,10,1,3,3600.3,11.12,2.33,7.38,10.21,10.21,377.25,77.18,8.18,27.72,0,452806.0,22559
20,10,1,4,3600.49,9.79,2.4,6.71,8.06,8.06,307.92,70.22,17.67,16.75,0,440462.0,26778
20,10,1,5,3601.02,15.52,3.85,10.1,11.64,11.64,303.12,66.92,25,13.23,0,435619.0,20755
30,7,1,1,3600.51,18.4,6.83,10.1,14.2,14.2,169.4,51.9,22.83,28.87,0,353081.0,2339
30,7,1,2,3600.61,15.83,6.07,10.16,14.4,14.4,160.79,57.85,9.03,29.44,0,272867.0,2508
30,7,1,3,3600.14,14.27,6.2,9.51,12.43,12.43,130.16,50.12,12.89,23.49,0,356879.0,2467
30,7,1,4,3600.56,12.27,6.07,9.2,11.57,11.57,102.14,47.54,5.7,20.48,0,312182.0,3995
30,7,1,5,3600.41,14.3,6.08,9.17,11.97,11.97,135.2,49.21,16.29,23.39,0,279366.0,2166
30,10,1,1,3600.77,9.68,2.8,5.8,7.21,7.21,245.71,61.17,25.52,19.56,0,291985.0,6420
30,10,1,2,3600.4,9.94,2.54,5.62,6.9,6.9,291.34,63.19,30.58,18.55,0,251393.0,6110
30,10,1,3,3600.27,7.84,2.35,5.24,6.44,6.44,233.62,63.51,17.86,18.63,0,266273.0,4505
30,10,1,4,3600.18,7.61,2.2,5.73,6.88,6.88,245.91,68.02,9.59,16.72,0,341268.0,6450
30,10,1,5,3600.81,12.79,3.2,6.44,8.33,8.33,299.69,61.58,34.87,22.69,0,296534.0,7228
30,15,1,1,3601.29,7.17,1.2,4.32,5.01,5.01,497.5,76.05,30.13,13.77,0,229855.0,15882
30,15,1,2,3600.71,7.94,1.27,4.87,5.79,5.79,525.2,78.07,27.08,15.89,0,261029.0,13155
30,15,1,3,3600.6,7.5,1.73,5.39,5.62,5.62,333.53,69.22,25.07,4.09,0,244777.0,13722
30,15,1,4,3600.42,9.28,1.34,5.28,6.5,6.5,592.54,79.38,29.96,18.77,0,173242.0,19635
30,15,1,5,3600.61,9.14,1.37,5.26,6.62,6.62,567.15,79.31,27.57,20.54,0,225782.0,12803
40,10,1,1,3605.32,14.93,4.02,6.68,8.34,8.34,271.39,51.8,44.14,19.9,0,30318.0,175
40,10,1,2,3600.35,19.69,4.4,7.57,9.63,9.63,347.5,54.31,51.09,21.39,0,40701.0,192
40,10,1,3,3600.53,12.33,3.65,6.27,8.04,8.04,237.81,54.6,34.79,22.01,0,85055.0,351
40,10,1,4,3600.31,9.04,3,5.58,6.74,6.74,201.33,55.49,25.44,17.21,0,96579.0,1436
40,10,1,5,3600.27,13.97,4.08,7.23,9.04,9.04,242.4,54.87,35.29,20.02,0,62807.0,451
40,13,1,1,3601.75,10.66,2.48,5.46,6.79,6.79,329.84,63.48,36.3,19.59,0,28760.0,2158
40,13,1,2,3601,10.57,2.73,5.79,7.35,7.35,287.18,62.86,30.46,21.22,0,87162.0,3003
40,13,1,3,3600.38,9.9,2.09,4.94,6.7,6.7,373.68,68.81,32.32,26.27,0,47652.0,2700
40,13,1,4,3601.11,9.17,2.03,4.87,6.22,6.22,351.72,67.36,32.17,21.7,0,90955.0,2667
40,13,1,5,3600.36,12.43,2.6,6.22,8.19,8.19,378.08,68.25,34.11,24.05,0,96919.0,968
40,20,1,1,3601.26,7.37,1,4.02,4.71,4.71,637,78.77,36.09,14.65,0,68052.0,2838
40,20,1,2,3605.62,9.25,1.23,4.46,5.16,5.16,652.03,76.16,44.22,13.57,0,88778.0,9283
40,20,1,3,3600.62,7.2,1.11,4.06,4.76,4.76,548.65,76.68,33.89,14.71,0,101265.0,3286
40,20,1,4,3600.54,8.79,1.2,4.19,4.86,4.86,632.5,75.31,44.71,13.79,0,56135.0,2622
40,20,1,5,3603.62,8.48,1.28,4.3,4.99,4.99,562.5,74.35,41.16,13.83,0,97495.0,7030
