N,density,p,time subpre,gap subpre,time pre,gap pre,|#|,CPU,GapBUR,GapBUL,GapUBL,GapUL,nod,mean cuts added,mean cuts pre,mean cuts pos
20,1,5,36,0.1,360,0.3,5,1334.25,20.85,0,0,0,800565.8,10365,313.6,10051.4
20,1,5,36,0.1,360,0.4,5,1261.07,20.85,0,0,0,853445.4,10368.6,175.6,10193
20,1,5,36,0.1,360,0.5,5,1084.9,20.83,0,0,0,825261,10359,87.4,10271.6
20,1,5,36,0.1,720,0.3,5,1509.22,20.85,0,0,0,785001.8,10361.4,384.4,9977
20,1,5,36,0.1,720,0.4,5,1354.98,20.83,0,0,0,827515,10364.2,220.6,10143.6
20,1,5,36,0.1,720,0.5,5,1125.81,20.85,0,0,0,827173.8,10360.2,87.8,10272.4
20,1,5,36,0.1,1200,0.3,5,1732.1,20.83,0,0,0,776830.6,10380.4,438.2,9942.2
20,1,5,36,0.1,1200,0.4,5,1604.28,20.83,0,0,0,872774.8,10328.2,245.8,10082.4
20,1,5,36,0.1,1200,0.5,5,1221.7,20.83,0,0,0,825261,10359,87.4,10271.6
20,1,5,36,0.3,360,0.3,5,1202.71,20.83,0,0,0,786341.6,10327.2,447.6,9879.6
20,1,5,36,0.3,360,0.4,5,1125.86,20.83,0,0,0,832443.8,10367.8,126.6,10241.2
20,1,5,36,0.3,360,0.5,5,1033.95,20.85,0,0,0,787844.6,10368,54.2,10313.8
20,1,5,36,0.3,720,0.3,5,1390.62,20.85,0,0,0,780487.2,10340.4,541,9799.4
20,1,5,36,0.3,720,0.4,5,1121.84,20.83,0,0,0,819389.6,10366.4,128.6,10237.8
20,1,5,36,0.3,720,0.5,5,1058.17,20.83,0,0,0,787844.6,10368,54.2,10313.8
20,1,5,36,0.3,1200,0.3,5,1596.33,20.83,0,0,0,759441.4,10359.8,660,9699.8
20,1,5,36,0.3,1200,0.4,5,1190.5,20.83,0,0,0,805001.6,10365.2,147.4,10217.8
20,1,5,36,0.3,1200,0.5,5,1106.74,20.83,0,0,0,787844.6,10368,54.2,10313.8
20,1,5,36,0.5,360,0.3,5,1175.49,20.83,0,0,0,773348,10393.4,468.2,9925.2
20,1,5,36,0.5,360,0.4,5,1226.89,20.83,0,0,0,845093.2,10359.2,195.2,10164
20,1,5,36,0.5,360,0.5,5,1101.66,20.83,0,0,0,799837,10330.4,64.8,10265.6
20,1,5,36,0.5,720,0.3,5,1363.38,20.85,0,0,0,744814.4,10324.4,595.2,9729.2
20,1,5,36,0.5,720,0.4,5,1245.29,20.85,0,0,0,811115.4,10327.2,214.4,10112.8
20,1,5,36,0.5,720,0.5,5,1121.16,20.83,0,0,0,799837,10330.4,64.8,10265.6
20,1,5,36,0.5,1200,0.3,5,1600.39,20.83,0,0,0,769967.2,10350.2,677,9673.2
20,1,5,36,0.5,1200,0.4,5,1310.24,20.83,0,0,0,792444.4,10321.4,230.8,10090.6
20,1,5,36,0.5,1200,0.5,5,1144.16,20.83,0,0,0,799837,10330.4,64.8,10265.6
20,1,5,72,0.1,360,0.3,5,1379.1,20.83,0,0,0,778219.8,10330.4,274.2,10056.2
20,1,5,72,0.1,360,0.4,5,1396.95,20.85,0,0,0,817978.8,10339.2,175.4,10163.8
20,1,5,72,0.1,360,0.5,5,1231.9,20.83,0,0,0,825896,10350.8,71.8,10279
20,1,5,72,0.1,720,0.3,5,1666.41,20.83,0,0,0,793643,10362,346,10016
20,1,5,72,0.1,720,0.4,5,1547.58,20.83,0,0,0,802168.8,10363,199.8,10163.2
20,1,5,72,0.1,720,0.5,5,1365.27,20.83,0,0,0,827173.8,10360.2,87.8,10272.4
20,1,5,72,0.3,360,0.3,5,1265,20.83,0,0,0,779568.8,10349.6,370,9979.6
20,1,5,72,0.3,360,0.4,5,1252.37,20.83,0,0,0,805001.6,10365.2,147.4,10217.8
20,1,5,72,0.3,360,0.5,5,1201.8,20.83,0,0,0,787844.6,10368,54.2,10313.8
20,1,5,72,0.3,720,0.3,5,1524.45,20.83,0,0,0,794433.8,10333.2,450.8,9882.4
20,1,5,72,0.3,720,0.4,5,1331.81,20.83,0,0,0,815929,10374.8,167.6,10207.2
20,1,5,72,0.3,720,0.5,5,1248.8,20.83,0,0,0,787844.6,10368,54.2,10313.8
20,1,5,72,0.5,360,0.3,5,1311.7,20.83,0,0,0,790795.4,10412.8,378.2,10034.6
20,1,5,72,0.5,360,0.4,5,1288.58,20.83,0,0,0,770851.2,10345.4,209.4,10136
20,1,5,72,0.5,360,0.5,5,1178.53,20.83,0,0,0,799837,10330.4,64.8,10265.6
