N,p,density,time subpre,gap subpre,time pre,gap pre,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp,cuts added,cuts pre,cuts pos
20,5,1,36,0.1,360,0.3,1,1122.66,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,729700,9575,440,9135
20,5,1,36,0.1,360,0.3,2,2659.91,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1437026,15333,271,15062
20,5,1,36,0.1,360,0.3,3,444.3,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,291898,6659,235,6424
20,5,1,36,0.1,360,0.3,4,1473.03,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,937269,11156,286,10870
20,5,1,36,0.1,360,0.3,5,971.36,12.7,12.7,11.13,12.7,12.7,0,0,0,12.36,1,606936,9102,336,8766
20,5,1,36,0.1,360,0.4,1,899.15,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,706682,9575,266,9309
20,5,1,36,0.1,360,0.4,2,2957.81,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1609331,15279,51,15228
20,5,1,36,0.1,360,0.4,3,257.19,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,301473,6660,52,6608
20,5,1,36,0.1,360,0.4,4,1296.38,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,1035505,11156,144,11012
20,5,1,36,0.1,360,0.4,5,894.83,12.7,12.7,11.13,12.7,12.7,0,0,0,12.36,1,614236,9173,365,8808
20,5,1,36,0.1,360,0.5,1,764.28,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,831720,9584,36,9548
20,5,1,36,0.1,360,0.5,2,2425.62,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1470380,15322,6,15316
20,5,1,36,0.1,360,0.5,3,283.1,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,357292,6658,11,6647
20,5,1,36,0.1,360,0.5,4,1007.04,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,841482,11160,28,11132
20,5,1,36,0.1,360,0.5,5,944.46,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,625431,9071,356,8715
20,5,1,36,0.1,720,0.3,1,1421.62,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,692310,9566,597,8969
20,5,1,36,0.1,720,0.3,2,2748.42,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1437026,15333,271,15062
20,5,1,36,0.1,720,0.3,3,454.31,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,291898,6659,235,6424
20,5,1,36,0.1,720,0.3,4,1622.38,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,911763,11162,324,10838
20,5,1,36,0.1,720,0.3,5,1299.37,12.7,12.7,11.13,12.7,12.7,0,0,0,12.36,1,592012,9087,495,8592
20,5,1,36,0.1,720,0.4,1,1031.84,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,736850,9575,364,9211
20,5,1,36,0.1,720,0.4,2,3001.3,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1609331,15279,51,15228
20,5,1,36,0.1,720,0.4,3,272.62,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,301473,6660,52,6608
20,5,1,36,0.1,720,0.4,4,1163.68,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,872481,11156,144,11012
20,5,1,36,0.1,720,0.4,5,1305.47,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,617440,9151,492,8659
20,5,1,36,0.1,720,0.5,1,840.12,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,831720,9584,36,9548
20,5,1,36,0.1,720,0.5,2,2494.26,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1470380,15322,6,15316
20,5,1,36,0.1,720,0.5,3,322.09,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,357292,6658,11,6647
20,5,1,36,0.1,720,0.5,4,919.31,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,851046,11166,30,11136
20,5,1,36,0.1,720,0.5,5,1053.27,12.7,12.7,11.13,12.7,12.7,0,0,0,12.36,1,625431,9071,356,8715
20,5,1,36,0.1,1200,0.3,1,1904.79,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,687743,9598,737,8861
20,5,1,36,0.1,1200,0.3,2,2846.39,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1437026,15333,271,15062
20,5,1,36,0.1,1200,0.3,3,492.82,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,291898,6659,235,6424
20,5,1,36,0.1,1200,0.3,4,1647.69,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,931300,11161,324,10837
20,5,1,36,0.1,1200,0.3,5,1768.82,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,536186,9151,624,8527
20,5,1,36,0.1,1200,0.4,1,1117.95,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,736850,9575,364,9211
20,5,1,36,0.1,1200,0.4,2,3221.78,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1609331,15279,51,15228
20,5,1,36,0.1,1200,0.4,3,283.96,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,301473,6660,52,6608
20,5,1,36,0.1,1200,0.4,4,1377.74,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,1035505,11156,144,11012
20,5,1,36,0.1,1200,0.4,5,2019.96,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,680715,8971,618,8353
20,5,1,36,0.1,1200,0.5,1,856.07,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,831720,9584,36,9548
20,5,1,36,0.1,1200,0.5,2,2758.54,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1470380,15322,6,15316
20,5,1,36,0.1,1200,0.5,3,357.03,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,357292,6658,11,6647
20,5,1,36,0.1,1200,0.5,4,1014.52,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,841482,11160,28,11132
20,5,1,36,0.1,1200,0.5,5,1122.32,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,625431,9071,356,8715
20,5,1,36,0.3,360,0.3,1,1177.49,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,694330,9582,655,8927
20,5,1,36,0.3,360,0.3,2,2178.3,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1436999,15283,199,15084
20,5,1,36,0.3,360,0.3,3,471.76,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,338336,6676,363,6313
20,5,1,36,0.3,360,0.3,4,1292.91,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,921710,11154,428,10726
20,5,1,36,0.3,360,0.3,5,893.07,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,540333,8941,593,8348
20,5,1,36,0.3,360,0.4,1,860.85,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,730814,9568,139,9429
20,5,1,36,0.3,360,0.4,2,2461.38,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1461313,15274,57,15217
20,5,1,36,0.3,360,0.4,3,293.62,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,328566,6669,40,6629
20,5,1,36,0.3,360,0.4,4,1246.54,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,999669,11164,137,11027
20,5,1,36,0.3,360,0.4,5,766.92,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,641857,9164,260,8904
20,5,1,36,0.3,360,0.5,1,788.54,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,718308,9569,92,9477
20,5,1,36,0.3,360,0.5,2,2373.17,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1364668,15270,3,15267
20,5,1,36,0.3,360,0.5,3,291.68,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,339709,6679,11,6668
20,5,1,36,0.3,360,0.5,4,1042.31,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,853520,11168,25,11143
20,5,1,36,0.3,360,0.5,5,674.05,12.7,12.7,11.13,12.7,12.7,0,0,0,12.36,1,663018,9154,140,9014
20,5,1,36,0.3,720,0.3,1,1442.32,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,674025,9570,934,8636
20,5,1,36,0.3,720,0.3,2,2475.37,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1436999,15283,199,15084
20,5,1,36,0.3,720,0.3,3,533.55,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,338336,6676,363,6313
20,5,1,36,0.3,720,0.3,4,1243.98,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,912775,11164,321,10843
20,5,1,36,0.3,720,0.3,5,1257.89,12.7,12.7,11.13,12.7,12.7,0,0,0,12.36,1,540301,9009,888,8121
20,5,1,36,0.3,720,0.4,1,890.13,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,730814,9568,139,9429
20,5,1,36,0.3,720,0.4,2,2549.74,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1461313,15274,57,15217
20,5,1,36,0.3,720,0.4,3,282.84,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,328566,6669,40,6629
20,5,1,36,0.3,720,0.4,4,1086.7,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,934398,11157,147,11010
20,5,1,36,0.3,720,0.4,5,799.77,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,641857,9164,260,8904
20,5,1,36,0.3,720,0.5,1,796.72,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,718308,9569,92,9477
20,5,1,36,0.3,720,0.5,2,2494.51,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1364668,15270,3,15267
20,5,1,36,0.3,720,0.5,3,326.7,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,339709,6679,11,6668
20,5,1,36,0.3,720,0.5,4,969.85,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,853520,11168,25,11143
20,5,1,36,0.3,720,0.5,5,703.05,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,663018,9154,140,9014
20,5,1,36,0.3,1200,0.3,1,1896.98,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,638350,9565,1206,8359
20,5,1,36,0.3,1200,0.3,2,2452.69,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1436999,15283,199,15084
20,5,1,36,0.3,1200,0.3,3,562.31,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,308287,6662,391,6271
20,5,1,36,0.3,1200,0.3,4,1319.6,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,876324,11163,390,10773
20,5,1,36,0.3,1200,0.3,5,1750.09,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,537247,9126,1114,8012
20,5,1,36,0.3,1200,0.4,1,888.6,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,730814,9568,139,9429
20,5,1,36,0.3,1200,0.4,2,2737.05,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1461313,15274,57,15217
20,5,1,36,0.3,1200,0.4,3,384.86,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,354189,6665,50,6615
20,5,1,36,0.3,1200,0.4,4,1116.03,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,836835,11155,231,10924
20,5,1,36,0.3,1200,0.4,5,825.95,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,641857,9164,260,8904
20,5,1,36,0.3,1200,0.5,1,819.64,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,718308,9569,92,9477
20,5,1,36,0.3,1200,0.5,2,2612.25,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1364668,15270,3,15267
20,5,1,36,0.3,1200,0.5,3,357.91,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,339709,6679,11,6668
20,5,1,36,0.3,1200,0.5,4,1008.13,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,853520,11168,25,11143
20,5,1,36,0.3,1200,0.5,5,735.79,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,663018,9154,140,9014
20,5,1,36,0.5,360,0.3,1,1029.16,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,680542,9574,689,8885
20,5,1,36,0.5,360,0.3,2,2169.88,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1347003,15273,269,15004
20,5,1,36,0.5,360,0.3,3,446.92,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,330327,6666,355,6311
20,5,1,36,0.5,360,0.3,4,1265.89,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,869816,11155,429,10726
20,5,1,36,0.5,360,0.3,5,965.61,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,639052,9299,599,8700
20,5,1,36,0.5,360,0.4,1,793.94,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,701344,9586,197,9389
20,5,1,36,0.5,360,0.4,2,2771.84,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1548822,15266,130,15136
20,5,1,36,0.5,360,0.4,3,306.29,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,321561,6658,36,6622
20,5,1,36,0.5,360,0.4,4,1182.95,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,903100,11154,165,10989
20,5,1,36,0.5,360,0.4,5,1079.43,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,750639,9132,448,8684
20,5,1,36,0.5,360,0.5,1,759.64,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,712306,9597,51,9546
20,5,1,36,0.5,360,0.5,2,2426.38,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1398991,15276,2,15274
20,5,1,36,0.5,360,0.5,3,324.61,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,365660,6658,33,6625
20,5,1,36,0.5,360,0.5,4,1248.36,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,922068,11161,30,11131
20,5,1,36,0.5,360,0.5,5,749.3,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,600160,8960,208,8752
20,5,1,36,0.5,720,0.3,1,1409.8,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,639351,9568,1010,8558
20,5,1,36,0.5,720,0.3,2,2230.08,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1347003,15273,269,15004
20,5,1,36,0.5,720,0.3,3,484.78,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,330327,6666,355,6311
20,5,1,36,0.5,720,0.3,4,1339.83,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,869816,11155,429,10726
20,5,1,36,0.5,720,0.3,5,1352.41,12.7,12.7,11.13,12.7,12.7,0,0,0,12.36,1,537575,8960,913,8047
20,5,1,36,0.5,720,0.4,1,876.53,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,701344,9586,197,9389
20,5,1,36,0.5,720,0.4,2,2952.2,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1548822,15266,130,15136
20,5,1,36,0.5,720,0.4,3,353.83,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,321561,6658,36,6622
20,5,1,36,0.5,720,0.4,4,1093.19,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,903100,11154,165,10989
20,5,1,36,0.5,720,0.4,5,950.72,12.7,12.7,11.13,12.7,12.7,0,0,0,12.36,1,580750,8972,544,8428
20,5,1,36,0.5,720,0.5,1,763.1,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,712306,9597,51,9546
20,5,1,36,0.5,720,0.5,2,2556.87,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1398991,15276,2,15274
20,5,1,36,0.5,720,0.5,3,382.83,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,365660,6658,33,6625
20,5,1,36,0.5,720,0.5,4,1146.68,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,922068,11161,30,11131
20,5,1,36,0.5,720,0.5,5,756.32,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,600160,8960,208,8752
20,5,1,36,0.5,1200,0.3,1,1948.68,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,632032,9607,1316,8291
20,5,1,36,0.5,1200,0.3,2,2340.06,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1347003,15273,269,15004
20,5,1,36,0.5,1200,0.3,3,428.24,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,333473,6673,232,6441
20,5,1,36,0.5,1200,0.3,4,1459.8,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,985574,11157,352,10805
20,5,1,36,0.5,1200,0.3,5,1825.16,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,551754,9041,1216,7825
20,5,1,36,0.5,1200,0.4,1,866.49,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,701344,9586,197,9389
20,5,1,36,0.5,1200,0.4,2,3163.95,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1548822,15266,130,15136
20,5,1,36,0.5,1200,0.4,3,358.74,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,321561,6658,36,6622
20,5,1,36,0.5,1200,0.4,4,1142.55,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,799837,11161,291,10870
20,5,1,36,0.5,1200,0.4,5,1019.48,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,590658,8936,500,8436
20,5,1,36,0.5,1200,0.5,1,783.17,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,712306,9597,51,9546
20,5,1,36,0.5,1200,0.5,2,2564.44,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1398991,15276,2,15274
20,5,1,36,0.5,1200,0.5,3,406.03,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,365660,6658,33,6625
20,5,1,36,0.5,1200,0.5,4,1223.12,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,922068,11161,30,11131
20,5,1,36,0.5,1200,0.5,5,744.02,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,600160,8960,208,8752
20,5,1,72,0.1,360,0.3,1,1097.12,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,687567,9577,354,9223
20,5,1,72,0.1,360,0.3,2,2857.52,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1437026,15333,271,15062
20,5,1,72,0.1,360,0.3,3,542.8,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,291898,6659,235,6424
20,5,1,72,0.1,360,0.3,4,1419.93,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,912132,11157,233,10924
20,5,1,72,0.1,360,0.3,5,978.14,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,562476,8926,278,8648
20,5,1,72,0.1,360,0.4,1,1115.97,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,687567,9577,354,9223
20,5,1,72,0.1,360,0.4,2,3271.4,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1609331,15279,51,15228
20,5,1,72,0.1,360,0.4,3,315.71,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,301473,6660,52,6608
