N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp
20,5,1,1,9.49,12.95,12.95,8.57,12.95,12.95,0,0,0,33.82,1,750
20,5,1,2,5.91,20.45,20.45,14.71,20.45,20.45,0,0,0,28.07,1,1
20,5,1,3,2.46,10.6,10.6,7.62,10.6,10.6,0,0,0,28.11,1,1
20,5,1,4,9.47,13.75,13.75,7.42,13.75,13.75,0,0,0,46.04,1,280
20,5,1,5,3.26,12.7,12.7,10.82,12.7,12.7,0,0,0,14.8,1,1
20,6,1,1,7.39,10.1,10.1,5.05,10.1,10.1,0,0,0,50,1,699
20,6,1,2,2.75,9.25,9.25,6.24,9.25,9.25,0,0,0,32.54,1,1
20,6,1,3,7.59,15.1,15.1,8.75,15.1,15.1,0,0,0,42.05,1,1390
20,6,1,4,4.75,16.25,16.25,10.3,16.25,16.25,0,0,0,36.62,1,1
20,6,1,5,3.02,13.1,13.1,8.75,13.1,13.1,0,0,0,33.21,1,1
20,10,1,1,1.48,7.06,7.06,5.53,7.06,7.06,0,0,0,21.67,1,1
20,10,1,2,2.8,9.81,9.81,6.23,9.81,9.81,0,0,0,36.49,1,1
20,10,1,3,4.81,10.21,10.21,6.79,10.21,10.21,0,0,0,33.5,1,1161
20,10,1,4,3.08,8.06,8.06,5.94,8.06,8.06,0,0,0,26.3,1,424
20,10,1,5,2.44,11.64,11.64,9.11,11.64,11.64,0,0,0,21.74,1,1
30,7,1,1,257.6,14.2,14.2,9.24,14.2,14.2,0,0,0,34.93,1,1918
30,7,1,2,206.07,14.4,14.4,9.2,14.4,14.4,0,0,0,36.11,1,1389
30,7,1,3,36.84,12.43,12.43,7.22,12.43,12.43,0,0,0,41.91,1,141
30,7,1,4,46,11.57,11.57,8.18,11.57,11.57,0,0,0,29.3,1,74
30,7,1,5,131.85,11.97,11.97,8.03,11.97,11.97,0,0,0,32.92,1,1201
30,10,1,1,16.72,7.21,7.21,4.51,7.21,7.21,0,0,0,37.45,1,1
30,10,1,2,31.86,6.9,6.9,4.57,6.9,6.9,0,0,0,33.77,1,1195
30,10,1,3,11.64,6.44,6.44,4.26,6.44,6.44,0,0,0,33.85,1,1
30,10,1,4,29.7,6.88,6.88,4.29,6.88,6.88,0,0,0,37.65,1,2260
30,10,1,5,96.38,8.33,8.33,5.64,8.33,8.33,0,0,0,32.29,1,2461
30,15,1,1,14.44,5.01,5.01,3.64,5.01,5.01,0,0,0,27.35,1,1
30,15,1,2,10.86,5.79,5.79,4.03,5.79,5.79,0,0,0,30.4,1,1
30,15,1,3,9.47,5.62,5.62,4.86,5.62,5.62,0,0,0,13.52,1,1
30,15,1,4,34.42,6.5,6.5,4.57,6.5,6.5,0,0,0,29.69,1,2201
30,15,1,5,19.77,6.62,6.62,4.75,6.62,6.62,0,0,0,28.25,1,32
40,10,1,1,380.85,8.34,8.34,5.69,8.34,8.34,0,0,0,31.77,1,1178
40,10,1,2,384.64,9.63,9.63,6.84,9.63,9.63,0,0,0,28.97,1,1099
40,10,1,3,287.83,8.04,8.04,5.36,8.04,8.04,0,0,0,33.33,1,781
40,10,1,4,482.32,6.74,6.74,4.68,6.74,6.74,0,0,0,30.56,1,2398
40,10,1,5,296.99,9.04,9.04,6.32,9.04,9.04,0,0,0,30.09,1,502
40,13,1,1,655.08,6.79,6.79,4.85,6.79,6.79,0,0,0,28.57,1,8116
40,13,1,2,103.33,7.35,7.35,5.17,7.35,7.35,0,0,0,29.66,1,126
40,13,1,3,272.69,6.7,6.7,3.98,6.7,6.7,0,0,0,40.6,1,7780
40,13,1,4,279.96,6.22,6.22,3.83,6.22,6.22,0,0,0,38.42,1,1220
40,13,1,5,439.48,8.19,8.19,5.28,8.19,8.19,0,0,0,35.53,1,4731
40,20,1,1,331.89,4.71,4.71,3.46,4.71,4.71,0,0,0,26.54,1,30550
40,20,1,2,83.31,5.16,5.16,3.87,5.16,5.16,0,0,0,25,1,200
40,20,1,3,417.78,4.76,4.76,3.66,4.76,4.76,0,0,0,23.11,1,46935
40,20,1,4,190.34,4.86,4.86,3.69,4.86,4.86,0,0,0,24.07,1,19206
40,20,1,5,52.56,4.99,4.99,3.92,4.99,4.99,0,0,0,21.44,1,1225
50,12,1,1,3600.1,7.67,7.41,4.47,7.67,7.67,3.51,3.39,0,41.72,0,5099
50,12,1,2,860.9,6.24,6.24,4.61,6.24,6.24,0,0,0,26.12,1,618
50,12,1,3,3600.14,7.1,6.77,4.19,6.91,6.91,4.87,2.03,2.68,39.36,0,15342
