N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp
20,5,1,1,9.37,12.95,12.95,8.57,12.95,12.95,0,0,0,33.82,1,1070
20,5,1,2,7.06,20.45,20.45,14.71,20.45,20.45,0,0,0,28.07,1,340
20,5,1,3,6.32,10.6,10.6,7.63,10.6,10.6,0,0,0,28.02,1,238
20,5,1,4,20.69,13.75,13.75,7.42,13.75,13.75,0,0,0,46.04,1,1532
20,5,1,5,4.92,12.7,12.7,10.82,12.7,12.7,0,0,0,14.8,1,31
20,6,1,1,17.74,10.1,10.1,5.05,10.1,10.1,0,0,0,50,1,1049
20,6,1,2,6.92,9.25,9.25,6.24,9.25,9.25,0,0,0,32.54,1,1505
20,6,1,3,7.55,15.1,15.1,8.75,15.1,15.1,0,0,0,42.05,1,957
20,6,1,4,8.64,16.25,16.25,10.3,16.25,16.25,0,0,0,36.62,1,1544
20,6,1,5,4.95,13.1,13.1,8.75,13.1,13.1,0,0,0,33.21,1,1
20,10,1,1,1.34,7.06,7.06,5.53,7.06,7.06,0,0,0,21.67,1,1
20,10,1,2,1.15,9.81,9.81,6.23,9.81,9.81,0,0,0,36.49,1,1
20,10,1,3,6.22,10.21,10.21,6.79,10.21,10.21,0,0,0,33.5,1,534
20,10,1,4,4.9,8.06,8.06,5.94,8.06,8.06,0,0,0,26.3,1,1
20,10,1,5,5.3,11.64,11.64,9.11,11.64,11.64,0,0,0,21.74,1,299
30,7,1,1,70.6,14.2,14.2,9.24,14.2,14.2,0,0,0,34.93,1,1890
30,7,1,2,157.61,14.4,14.4,9.2,14.4,14.4,0,0,0,36.11,1,1199
30,7,1,3,98.62,12.43,12.43,7.22,12.43,12.43,0,0,0,41.91,1,1054
30,7,1,4,88.23,11.57,11.57,8.18,11.57,11.57,0,0,0,29.3,1,1087
30,7,1,5,71.83,11.97,11.97,8.03,11.97,11.97,0,0,0,32.92,1,1160
30,10,1,1,16.97,7.21,7.21,4.51,7.21,7.21,0,0,0,37.45,1,1
30,10,1,2,105.17,6.9,6.9,4.57,6.9,6.9,0,0,0,33.77,1,2052
30,10,1,3,23.58,6.44,6.44,4.26,6.44,6.44,0,0,0,33.85,1,1548
30,10,1,4,42.7,6.88,6.88,4.29,6.88,6.88,0,0,0,37.65,1,1021
30,10,1,5,102.85,8.33,8.33,5.64,8.33,8.33,0,0,0,32.29,1,1797
30,15,1,1,17.93,5.01,5.01,3.64,5.01,5.01,0,0,0,27.35,1,355
30,15,1,2,9.26,5.79,5.79,4.03,5.79,5.79,0,0,0,30.4,1,232
30,15,1,3,8.24,5.62,5.62,4.86,5.62,5.62,0,0,0,13.52,1,356
30,15,1,4,23.43,6.5,6.5,4.57,6.5,6.5,0,0,0,29.69,1,829
30,15,1,5,23.02,6.62,6.62,4.75,6.62,6.62,0,0,0,28.25,1,955
40,10,1,1,294.74,8.34,8.34,5.69,8.34,8.34,0,0,0,31.77,1,4801
40,10,1,2,557.71,9.63,9.63,6.84,9.63,9.63,0,0,0,28.97,1,1165
40,10,1,3,277.24,8.04,8.04,5.36,8.04,8.04,0,0,0,33.33,1,587
40,10,1,4,172.46,6.74,6.74,4.68,6.74,6.74,0,0,0,30.56,1,1000
40,10,1,5,420.66,9.04,9.04,6.32,9.04,9.04,0,0,0,30.09,1,7129
40,13,1,1,129.19,6.79,6.79,4.85,6.79,6.79,0,0,0,28.57,1,1449
40,13,1,2,280.93,7.35,7.35,5.17,7.35,7.35,0,0,0,29.66,1,649
40,13,1,3,240.46,6.7,6.7,3.98,6.7,6.7,0,0,0,40.6,1,2490
40,13,1,4,235.53,6.22,6.22,3.83,6.22,6.22,0,0,0,38.42,1,3389
40,13,1,5,781.32,8.19,8.19,5.28,8.19,8.19,0,0,0,35.53,1,8203
40,20,1,1,79.02,4.71,4.71,3.46,4.71,4.71,0,0,0,26.54,1,2423
40,20,1,2,47.31,5.16,5.16,3.87,5.16,5.16,0,0,0,25,1,1
40,20,1,3,62.09,4.76,4.76,3.66,4.76,4.76,0,0,0,23.11,1,767
40,20,1,4,208.74,4.86,4.86,3.69,4.86,4.86,0,0,0,24.07,1,13249
40,20,1,5,247.7,4.99,4.99,3.92,4.99,4.99,0,0,0,21.44,1,10094
50,12,1,1,2671.4,7.67,7.67,4.47,7.67,7.67,0,0,0,41.72,1,2017
50,12,1,2,951.66,6.24,6.24,4.61,6.24,6.24,0,0,0,26.12,1,1242
50,12,1,3,2301.14,6.91,6.91,4.19,6.91,6.91,0,0,0,39.36,1,2152
50,12,1,4,2122.68,7.16,7.16,4.38,7.16,7.16,0,0,0,38.83,1,2618
50,12,1,5,1470.68,7.06,7.06,4.71,7.06,7.06,0,0,0,33.29,1,3821
50,16,1,1,228.9,6.09,6.09,4.86,6.09,6.09,0,0,0,20.2,1,551
50,16,1,2,493.99,6.1,6.1,4.24,6.1,6.1,0,0,0,30.49,1,1888
50,16,1,3,929.42,5.5,5.5,3.85,5.5,5.5,0,0,0,30,1,2420
50,16,1,4,282.69,5.06,5.06,3.76,5.06,5.06,0,0,0,25.69,1,1335
50,16,1,5,192.92,5.58,5.58,4.1,5.58,5.58,0,0,0,26.52,1,1134
50,25,1,1,288.37,5.01,5.01,4.02,5.01,5.01,0,0,0,19.76,1,13688
50,25,1,2,195.91,3.87,3.87,2.89,3.87,3.87,0,0,0,25.32,1,2905
50,25,1,3,91.21,3.38,3.38,2.42,3.38,3.38,0,0,0,28.4,1,236
50,25,1,4,131.5,4.2,4.2,3.12,4.2,4.2,0,0,0,25.71,1,1788
50,25,1,5,598.83,4.69,4.69,3.4,4.69,4.69,0,0,0,27.51,1,3520
60,15,1,1,2925.2,6.56,6.56,4.46,6.56,6.56,0,0,0,32.01,1,2666
60,15,1,2,2767.74,6.03,6.03,4.01,6.03,6.03,0,0,0,33.5,1,8645
60,15,1,3,3600.17,5.12,4.8,3.13,4.93,4.93,6.67,2.64,3.71,36.51,0,2464
60,15,1,4,1668.05,5.69,5.69,4.17,5.69,5.69,0,0,0,26.71,1,4812
60,15,1,5,1293.25,5.82,5.82,4.13,5.82,5.82,0,0,0,29.04,1,269
60,20,1,1,1206.8,4.78,4.78,3.39,4.78,4.78,0,0,0,29.08,1,863
