N,density,p,|#|,CPU,GapBUR,GapBUL,GapUBL,GapUL,nod
20,1,5,5,1.85,20.83,0,0,0,70.6
20,1,6,5,1.06,22.41,0,0,0,97.2
20,1,10,5,0.72,17.2,0,0,0,36.4
30,1,7,5,3.69,25.13,0,0,0,89
30,1,10,5,1.87,19.23,0,0,0,120.6
30,1,15,5,1.36,14.61,0,0,0,352.6
40,1,10,5,5.38,20.11,0,0,0,264.6
40,1,13,5,6.32,22.54,0,0,0,1459.6
40,1,20,5,2.79,14.11,0,0,0,1313.2
50,1,12,5,20.96,25.84,0,0,0,1704
50,1,16,5,3.67,14.69,0,0,0,111.2
50,1,25,5,3.05,13.44,0,0,0,445.4
60,1,15,5,17.51,20.22,0,0,0,2616.6
60,1,20,5,6.29,15.95,0,0,0,438.8
60,1,30,5,16.83,14.84,0,0,0,31026.4
70,1,17,5,25.55,18.02,0,0,0,1493.8
70,1,23,5,16.63,17.92,0,0,0,2267
70,1,35,5,12.2,10.34,0,0,0,13066.8
80,1,20,5,42.28,19.29,0,0,0,4301.4
80,1,26,5,38.06,15.54,0,0,0,23675
80,1,40,5,12.8,11.17,0,0,0,8205.2
90,1,22,5,38.8,16.49,0,0,0,701
90,1,30,5,27.32,13.76,0,0,0,6950.4
90,1,45,4,956.05,11.62,0.15,0.15,0.15,2202144.6
100,1,25,5,99.18,16.81,0,0,0,15013.8
100,1,33,5,137.45,14.72,0,0,0,184819.8
100,1,50,5,290.13,9.59,0,0,0,694551.2
