N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp
20,5,1,1,2.48,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,158
20,5,1,2,2.85,20.45,20.45,16.79,20.45,20.45,0,0,0,_17.89,122,1
20,5,1,3,0.76,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,1
20,5,1,4,2.67,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,71
20,5,1,5,0.48,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,1
20,6,1,1,2.32,17,17,11.94,17,17,0,0,0,29.76,1,431
20,6,1,2,1.39,12.9,12.9,9.25,12.9,12.9,0,0,0,28.29,1,52
20,6,1,3,0.54,13.95,13.95,11.58,13.95,13.95,0,0,0,16.99,1,1
20,6,1,4,0.79,9.9,9.9,7.57,9.9,9.9,0,0,0,23.54,1,1
20,6,1,5,0.25,8.75,8.75,7.57,8.75,8.75,0,0,0,13.49,1,1
20,10,1,1,0.33,7.06,7.06,6.15,7.06,7.06,0,0,0,12.89,1,1
20,10,1,2,1.06,9.81,9.81,8.3,9.81,9.81,0,0,0,15.39,1,113
20,10,1,3,0.78,10.21,10.21,7.38,10.21,10.21,0,0,0,27.72,1,1
20,10,1,4,0.58,8.06,8.06,6.71,8.06,8.06,0,0,0,16.75,1,1
20,10,1,5,0.86,11.64,11.64,10.1,11.64,11.64,0,0,0,13.23,1,66
30,7,1,1,4.17,14.2,14.2,10.1,14.2,14.2,0,0,0,28.87,1,1
30,7,1,2,7.55,14.4,14.4,10.16,14.4,14.4,0,0,0,29.44,1,334
30,7,1,3,2.31,12.43,12.43,9.51,12.43,12.43,0,0,0,23.49,1,1
30,7,1,4,1.57,11.57,11.57,9.2,11.57,11.57,0,0,0,20.48,1,1
30,7,1,5,2.82,11.97,11.97,9.17,11.97,11.97,0,0,0,23.39,1,108
30,10,1,1,0.87,7.21,7.21,5.8,7.21,7.21,0,0,0,19.56,1,1
30,10,1,2,2.95,6.9,6.9,5.62,6.9,6.9,0,0,0,18.55,1,356
30,10,1,3,1.55,6.44,6.44,5.24,6.44,6.44,0,0,0,18.63,1,50
30,10,1,4,1.25,6.88,6.88,5.73,6.88,6.88,0,0,0,16.72,1,1
30,10,1,5,2.72,8.33,8.33,6.44,8.33,8.33,0,0,0,22.69,1,195
30,15,1,1,1.39,5.01,5.01,4.32,5.01,5.01,0,0,0,13.77,1,1
30,15,1,2,0.86,5.79,5.79,4.87,5.79,5.79,0,0,0,15.89,1,1
30,15,1,3,1,5.62,5.62,5.39,5.62,5.62,0,0,0,4.09,1,89
30,15,1,4,1.47,6.5,6.5,5.28,6.5,6.5,0,0,0,18.77,1,130
30,15,1,5,2.09,6.62,6.62,5.26,6.62,6.62,0,0,0,20.54,1,1542
40,10,1,1,5.77,8.34,8.34,6.68,8.34,8.34,0,0,0,19.9,1,1
