N,density,p,|#|,CPU,GapBUR,GapBUL,GapUBL,GapUL,nod
20,1,5,5,0.34,20.83,0,0,0,1
20,1,6,5,0.49,24.15,0,0,0,105.4
20,1,10,5,0.24,17.2,0,0,0,26.8
30,1,7,5,2.09,25.13,0,0,0,81
30,1,10,5,1.12,19.23,0,0,0,80.6
30,1,15,5,0.7,14.61,0,0,0,283.6
40,1,10,5,2.95,20.11,0,0,0,503.4
40,1,13,5,4.51,22.54,0,0,0,1650.2
40,1,20,5,1.54,14.11,0,0,0,1606.8
50,1,12,5,10.21,25.84,0,0,0,1976.2
50,1,16,5,3.65,14.69,0,0,0,411.8
50,1,25,5,2.08,13.44,0,0,0,2077
60,1,15,5,11.95,20.22,0,0,0,1898.4
60,1,20,5,5.73,15.95,0,0,0,974.6
60,1,30,5,4.61,14.84,0,0,0,9334.6
70,1,17,5,18.44,18.02,0,0,0,1468.6
70,1,23,5,8.1,17.92,0,0,0,905.2
70,1,35,5,4.65,10.41,0,0,0,4601.6
80,1,20,5,33.43,19.29,0,0,0,3375.4
80,1,26,5,20.29,15.54,0,0,0,10820.2
80,1,40,5,7.78,11.17,0,0,0,5441.8
90,1,22,5,26.27,16.49,0,0,0,2045.4
90,1,30,5,19.3,13.76,0,0,0,5147
90,1,45,5,574.7,11.62,0,0,0,1829827.4
100,1,25,5,52.44,16.81,0,0,0,7089
100,1,33,5,105.29,14.72,0,0,0,161173.2
100,1,50,5,185,9.59,0,0,0,955019
