N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp
20,5,1,1,0.28,12.95,12.95,9.33,12.95,12.95,0,0,0,27.95,1,1
20,5,1,2,0.64,20.45,20.45,16.79,20.45,20.45,0,0,0,17.9,1,1
20,5,1,3,0.19,10.6,10.6,8.82,10.6,10.6,0,0,0,16.79,1,1
20,5,1,4,0.37,13.75,13.75,9.73,13.75,13.75,0,0,0,29.24,1,1
20,5,1,5,0.21,12.7,12.7,11.14,12.7,12.7,0,0,0,12.28,1,1
20,6,1,1,0.91,10.1,10.1,6.32,10.1,10.1,0,0,0,37.43,1,523
20,6,1,2,0.17,9.25,9.25,8.06,9.25,9.25,0,0,0,12.86,1,1
20,6,1,3,0.74,15.1,15.1,11.03,15.1,15.1,0,0,0,26.95,1,1
20,6,1,4,0.37,16.25,16.25,12.08,16.25,16.25,0,0,0,25.66,1,1
20,6,1,5,0.24,13.1,13.1,10.76,13.1,13.1,0,0,0,17.86,1,1
20,10,1,1,0.11,7.06,7.06,6.15,7.06,7.06,0,0,0,12.89,1,1
20,10,1,2,0.11,9.81,9.81,8.3,9.81,9.81,0,0,0,15.39,1,1
20,10,1,3,0.27,10.21,10.21,7.38,10.21,10.21,0,0,0,27.72,1,1
20,10,1,4,0.24,8.06,8.06,6.71,8.06,8.06,0,0,0,16.75,1,1
20,10,1,5,0.45,11.64,11.64,10.1,11.64,11.64,0,0,0,13.23,1,130
30,7,1,1,2.95,14.2,14.2,10.1,14.2,14.2,0,0,0,28.87,1,76
30,7,1,2,4.38,14.4,14.4,10.16,14.4,14.4,0,0,0,29.44,1,326
30,7,1,3,1.04,12.43,12.43,9.51,12.43,12.43,0,0,0,23.49,1,1
30,7,1,4,0.75,11.57,11.57,9.2,11.57,11.57,0,0,0,20.48,1,1
30,7,1,5,1.31,11.97,11.97,9.17,11.97,11.97,0,0,0,23.39,1,1
30,10,1,1,0.48,7.21,7.21,5.8,7.21,7.21,0,0,0,19.56,1,1
30,10,1,2,1.96,6.9,6.9,5.62,6.9,6.9,0,0,0,18.55,1,244
30,10,1,3,0.87,6.44,6.44,5.24,6.44,6.44,0,0,0,18.63,1,142
30,10,1,4,0.64,6.88,6.88,5.73,6.88,6.88,0,0,0,16.72,1,1
30,10,1,5,1.66,8.33,8.33,6.44,8.33,8.33,0,0,0,22.69,1,15
30,15,1,1,0.67,5.01,5.01,4.32,5.01,5.01,0,0,0,13.77,1,1
30,15,1,2,0.65,5.79,5.79,4.87,5.79,5.79,0,0,0,15.89,1,147
30,15,1,3,0.45,5.62,5.62,5.39,5.62,5.62,0,0,0,4.09,1,62
30,15,1,4,0.56,6.5,6.5,5.28,6.5,6.5,0,0,0,18.77,1,1
30,15,1,5,1.17,6.62,6.62,5.26,6.62,6.62,0,0,0,20.54,1,1207
40,10,1,1,2.07,8.34,8.34,6.68,8.34,8.34,0,0,0,19.9,1,1
40,10,1,2,2.34,9.63,9.63,7.57,9.63,9.63,0,0,0,21.39,1,1
40,10,1,3,4.04,8.04,8.04,6.27,8.04,8.04,0,0,0,22.01,1,567
40,10,1,4,3.81,6.74,6.74,5.58,6.74,6.74,0,0,0,17.21,1,1475
40,10,1,5,2.47,9.04,9.04,7.23,9.04,9.04,0,0,0,20.02,1,473
40,13,1,1,4.19,6.79,6.79,5.46,6.79,6.79,0,0,0,19.59,1,1501
40,13,1,2,3.18,7.35,7.35,5.8,7.35,7.35,0,0,0,21.09,1,253
40,13,1,3,4.14,6.7,6.7,4.94,6.7,6.7,0,0,0,26.27,1,2464
40,13,1,4,2.04,6.22,6.22,4.87,6.22,6.22,0,0,0,21.7,1,1280
40,13,1,5,8.99,8.19,8.19,6.22,8.19,8.19,0,0,0,24.05,1,2753
40,20,1,1,1.56,4.71,4.71,4.02,4.71,4.71,0,0,0,14.65,1,1138
40,20,1,2,1.34,5.16,5.16,4.46,5.16,5.16,0,0,0,13.57,1,948
40,20,1,3,0.8,4.76,4.76,4.06,4.76,4.76,0,0,0,14.71,1,1
40,20,1,4,1.21,4.86,4.86,4.19,4.86,4.86,0,0,0,13.79,1,106
40,20,1,5,2.77,4.99,4.99,4.3,4.99,4.99,0,0,0,13.83,1,5841
50,12,1,1,16.26,7.67,7.67,5.56,7.67,7.67,0,0,0,27.51,1,3775
50,12,1,2,8.02,6.24,6.24,4.96,6.24,6.24,0,0,0,20.51,1,1870
50,12,1,3,9.26,6.91,6.91,5.01,6.91,6.91,0,0,0,27.5,1,1787
50,12,1,4,8.87,7.16,7.16,5.05,7.16,7.16,0,0,0,29.47,1,1659
50,12,1,5,8.64,7.06,7.06,5.35,7.06,7.06,0,0,0,24.22,1,790
50,16,1,1,3.13,6.09,6.09,5.44,6.09,6.09,0,0,0,10.67,1,1142
50,16,1,2,4.79,6.1,6.1,5.06,6.1,6.1,0,0,0,17.05,1,203
50,16,1,3,6.14,5.5,5.5,4.5,5.5,5.5,0,0,0,18.18,1,677
50,16,1,4,1.85,5.06,5.06,4.31,5.06,5.06,0,0,0,14.82,1,1
50,16,1,5,2.32,5.58,5.58,4.87,5.58,5.58,0,0,0,12.72,1,36
50,25,1,1,2.75,5.01,5.01,4.52,5.01,5.01,0,0,0,9.78,1,5323
50,25,1,2,2.54,3.87,3.87,3.34,3.87,3.87,0,0,0,13.7,1,3000
50,25,1,3,2.06,3.38,3.38,2.82,3.38,3.38,0,0,0,16.57,1,403
50,25,1,4,2.1,4.2,4.2,3.66,4.2,4.2,0,0,0,12.86,1,1658
50,25,1,5,0.96,4.69,4.69,4.02,4.69,4.69,0,0,0,14.29,1,1
60,15,1,1,11.07,6.56,6.56,5.39,6.56,6.56,0,0,0,17.84,1,1347
60,15,1,2,11.89,6.03,6.03,4.59,6.03,6.03,0,0,0,23.88,1,1747
60,15,1,3,16.8,4.93,4.93,3.68,4.93,4.93,0,0,0,25.35,1,2280
60,15,1,4,11.23,5.69,5.69,4.84,5.69,5.69,0,0,0,14.94,1,3911
60,15,1,5,8.77,5.82,5.82,4.71,5.82,5.82,0,0,0,19.07,1,207
60,20,1,1,6.87,4.78,4.78,3.99,4.78,4.78,0,0,0,16.53,1,807
60,20,1,2,8.32,4.93,4.93,3.78,4.93,4.93,0,0,0,23.33,1,3204
60,20,1,3,4.28,4.52,4.52,3.92,4.52,4.52,0,0,0,13.27,1,224
60,20,1,4,5.43,3.9,3.9,3.34,3.9,3.9,0,0,0,14.36,1,637
60,20,1,5,3.77,5.21,5.21,4.57,5.21,5.21,0,0,0,12.28,1,1
60,30,1,1,1.51,3.53,3.53,2.99,3.53,3.53,0,0,0,15.3,1,1
60,30,1,2,3.94,3.07,3.07,2.74,3.07,3.07,0,0,0,10.75,1,1988
60,30,1,3,3.6,3.45,3.45,2.91,3.45,3.45,0,0,0,15.65,1,4138
60,30,1,4,2.01,3.72,3.72,3.01,3.72,3.72,0,0,0,19.09,1,1
60,30,1,5,12,3.8,3.8,3.29,3.8,3.8,0,0,0,13.42,1,40545
70,17,1,1,8.78,4.27,4.27,3.85,4.27,4.27,0,0,0,9.84,1,397
70,17,1,2,18.7,5.23,5.23,4.11,5.23,5.23,0,0,0,21.41,1,681
70,17,1,3,10.57,4.8,4.8,3.92,4.8,4.8,0,0,0,18.33,1,77
70,17,1,4,28.65,5.45,5.45,4.55,5.45,5.45,0,0,0,16.51,1,907
70,17,1,5,25.5,5.42,5.42,4.12,5.42,5.42,0,0,0,23.99,1,5281
70,23,1,1,6.25,4.11,4.11,3.27,4.11,4.11,0,0,0,20.44,1,1
70,23,1,2,8.21,4.11,4.11,3.53,4.11,4.11,0,0,0,14.11,1,1024
70,23,1,3,8.22,3.77,3.77,2.95,3.77,3.77,0,0,0,21.75,1,166
70,23,1,4,11.52,4.85,4.85,4.08,4.85,4.85,0,0,0,15.88,1,3334
70,23,1,5,6.32,4.48,4.48,3.7,4.48,4.48,0,0,0,17.41,1,1
70,35,1,1,2.49,2.81,2.81,2.64,2.81,2.81,0,0,0,6.05,1,1
70,35,1,2,5.14,3.16,3.16,2.87,3.16,3.16,0,0,0,9.18,1,3062
70,35,1,3,2.8,3.09,3.09,2.73,3.09,3.09,0,0,0,11.65,1,1
70,35,1,4,7.71,3.32,3.32,2.92,3.32,3.32,0,0,0,12.05,1,15911
70,35,1,5,5.13,3.13,3.13,2.72,3.13,3.13,0,0,0,13.1,1,4033
80,20,1,1,31.68,4.95,4.95,4.05,4.95,4.95,0,0,0,18.18,1,4646
80,20,1,2,29.58,4.3,4.3,3.5,4.3,4.3,0,0,0,18.6,1,2165
80,20,1,3,21.79,4.87,4.87,3.66,4.87,4.87,0,0,0,24.85,1,557
80,20,1,4,35.17,4.66,4.66,3.97,4.66,4.66,0,0,0,14.81,1,8422
80,20,1,5,48.94,4.2,4.2,3.36,4.2,4.2,0,0,0,20,1,1087
80,26,1,1,33.39,4.2,4.2,3.43,4.2,4.2,0,0,0,18.33,1,32766
80,26,1,2,8.46,3.53,3.53,3.28,3.53,3.53,0,0,0,7.08,1,2522
80,26,1,3,30.11,4.02,4.02,3.3,4.02,4.02,0,0,0,17.91,1,16255
80,26,1,4,15.76,4.11,4.11,3.51,4.11,4.11,0,0,0,14.6,1,2480
80,26,1,5,13.74,3.59,3.59,2.88,3.59,3.59,0,0,0,19.78,1,78
80,40,1,1,6.71,2.64,2.64,2.42,2.64,2.64,0,0,0,8.33,1,1
80,40,1,2,2.81,2.51,2.51,2.19,2.51,2.51,0,0,0,12.75,1,1
80,40,1,3,10.34,2.72,2.72,2.49,2.72,2.72,0,0,0,8.46,1,16428
80,40,1,4,4.79,3.03,3.03,2.78,3.03,3.03,0,0,0,8.25,1,44
80,40,1,5,14.26,2.99,2.99,2.45,2.99,2.99,0,0,0,18.06,1,10735
90,22,1,1,30.47,3.66,3.66,3.1,3.66,3.66,0,0,0,15.3,1,1560
90,22,1,2,21.13,3.36,3.36,2.94,3.36,3.36,0,0,0,12.5,1,3692
90,22,1,3,27.76,4.01,4.01,3.24,4.01,4.01,0,0,0,19.2,1,1023
90,22,1,4,16.87,3.99,3.99,3.37,3.99,3.99,0,0,0,15.54,1,80
90,22,1,5,35.12,4.07,4.07,3.26,4.07,4.07,0,0,0,19.9,1,3872
90,30,1,1,16.18,3.21,3.21,2.72,3.21,3.21,0,0,0,15.26,1,108
90,30,1,2,19.45,3.95,3.95,3.41,3.95,3.95,0,0,0,13.67,1,8552
90,30,1,3,18.14,3.19,3.19,2.71,3.19,3.19,0,0,0,15.05,1,3794
90,30,1,4,8.76,3.2,3.2,2.91,3.2,3.2,0,0,0,9.06,1,611
90,30,1,5,33.98,3.17,3.17,2.67,3.17,3.17,0,0,0,15.77,1,12670
90,45,1,1,20.14,3.02,3.02,2.7,3.02,3.02,0,0,0,10.6,1,28950
90,45,1,2,6.23,2.36,2.36,2.26,2.36,2.36,0,0,0,4.24,1,644
90,45,1,3,1718.58,2.43,2.43,2.07,2.43,2.43,0,0,0,14.81,1,4716687
90,45,1,4,4.2,2.65,2.65,2.37,2.65,2.65,0,0,0,10.57,1,1
90,45,1,5,1124.33,2.74,2.74,2.25,2.74,2.74,0,0,0,17.88,1,4402855
100,25,1,1,32.55,3.98,3.98,3.12,3.98,3.98,0,0,0,21.61,1,1191
100,25,1,2,59.42,3.72,3.72,3.13,3.72,3.72,0,0,0,15.86,1,5120
100,25,1,3,32.95,3.42,3.42,2.91,3.42,3.42,0,0,0,14.91,1,7661
100,25,1,4,68.51,3.57,3.57,2.95,3.57,3.57,0,0,0,17.37,1,16459
100,25,1,5,68.78,3.43,3.43,2.94,3.43,3.43,0,0,0,14.29,1,5014
100,33,1,1,40.96,3.23,3.23,2.72,3.23,3.23,0,0,0,15.79,1,31097
100,33,1,2,8.98,3.44,3.44,2.94,3.44,3.44,0,0,0,14.53,1,1
100,33,1,3,23.03,2.98,2.98,2.57,2.98,2.98,0,0,0,13.76,1,12433
100,33,1,4,431.41,3.43,3.43,2.88,3.43,3.43,0,0,0,16.03,1,760236
100,33,1,5,22.08,2.89,2.89,2.5,2.89,2.89,0,0,0,13.49,1,2099
