N,p,density,instance,CPU,objU,objL,objR,best objU,best objL,gapUL,gapBUL,gapUBL,gapBUR,optimality,nodes exp
20,5,1,1,34.32,12.95,12.95,8.58,12.95,12.95,0,0,0,33.75,1,1553
20,5,1,2,4.97,20.45,20.45,14.71,20.45,20.45,0,0,0,28.07,1,582
20,5,1,3,4.02,10.6,10.6,7.62,10.6,10.6,0,0,0,28.11,1,32
20,5,1,4,12.97,13.75,13.75,7.43,13.75,13.75,0,0,0,45.96,1,33
20,5,1,5,5.81,12.7,12.7,10.82,12.7,12.7,0,0,0,14.8,1,112
20,6,1,1,36.95,10.1,10.1,5.05,10.1,10.1,0,0,0,50,1,3427
20,6,1,2,6.58,9.25,9.25,6.24,9.25,9.25,0,0,0,32.54,1,359
20,6,1,3,15.61,15.1,15.1,8.75,15.1,15.1,0,0,0,42.05,1,1109
20,6,1,4,9.47,16.25,16.25,10.3,16.25,16.25,0,0,0,36.62,1,1087
20,6,1,5,6.13,13.1,13.1,8.75,13.1,13.1,0,0,0,33.21,1,828
20,10,1,1,17.82,7.06,7.06,5.53,7.06,7.06,0,0,0,21.67,1,1227
20,10,1,2,8.14,9.81,9.81,6.23,9.81,9.81,0,0,0,36.49,1,1205
20,10,1,3,5.83,10.21,10.21,6.79,10.21,10.21,0,0,0,33.5,1,2307
20,10,1,4,12.36,8.06,8.06,5.94,8.06,8.06,0,0,0,26.3,1,1081
20,10,1,5,16.8,11.64,11.64,9.11,11.64,11.64,0,0,0,21.74,1,1369
30,7,1,1,188.24,14.2,14.2,9.24,14.2,14.2,0,0,0,34.93,1,1823
30,7,1,2,350.32,14.4,14.4,9.2,14.4,14.4,0,0,0,36.11,1,3919
30,7,1,3,107.94,12.43,12.43,7.22,12.43,12.43,0,0,0,41.91,1,1180
30,7,1,4,122.12,11.57,11.57,8.18,11.57,11.57,0,0,0,29.3,1,1078
30,7,1,5,238.54,11.97,11.97,8.03,11.97,11.97,0,0,0,32.92,1,2237
30,10,1,1,32.46,7.21,7.21,4.51,7.21,7.21,0,0,0,37.45,1,334
30,10,1,2,148.7,6.9,6.9,4.57,6.9,6.9,0,0,0,33.77,1,4184
30,10,1,3,208.59,6.44,6.44,4.26,6.44,6.44,0,0,0,33.85,1,2297
30,10,1,4,81.29,6.88,6.88,4.29,6.88,6.88,0,0,0,37.65,1,1766
30,10,1,5,379.14,8.33,8.33,5.64,8.33,8.33,0,0,0,32.29,1,11235
30,15,1,1,229.51,5.01,5.01,3.64,5.01,5.01,0,0,0,27.35,1,1214
30,15,1,2,241.49,5.79,5.79,4.03,5.79,5.79,0,0,0,30.4,1,5655
30,15,1,3,145.78,5.62,5.62,4.86,5.62,5.62,0,0,0,13.52,1,2091
30,15,1,4,427.09,6.5,6.5,4.57,6.5,6.5,0,0,0,29.69,1,18485
30,15,1,5,405.46,6.62,6.62,4.75,6.62,6.62,0,0,0,28.25,1,22259
40,10,1,1,903.19,8.34,8.34,5.69,8.34,8.34,0,0,0,31.77,1,6882
40,10,1,2,1171.71,9.63,9.63,6.84,9.63,9.63,0,0,0,28.97,1,6233
40,10,1,3,1358.61,8.04,8.04,5.36,8.04,8.04,0,0,0,33.33,1,20296
40,10,1,4,836.12,6.74,6.74,4.68,6.74,6.74,0,0,0,30.56,1,10939
40,10,1,5,1071.25,9.04,9.04,6.32,9.04,9.04,0,0,0,30.09,1,4346
40,13,1,1,1541.19,6.79,6.79,4.85,6.79,6.79,0,0,0,28.57,1,28373
40,13,1,2,2631.32,7.35,7.35,5.17,7.35,7.35,0,0,0,29.66,1,40320
40,13,1,3,3600.12,6.72,6.61,3.98,6.7,6.7,1.66,1.34,0.3,40.6,0,109677
40,13,1,4,2284.8,6.22,6.22,3.83,6.22,6.22,0,0,0,38.42,1,55155
40,13,1,5,3600.13,8.91,7.8,5.28,8.19,8.19,14.23,4.76,8.08,35.53,0,43407
40,20,1,1,3600.11,4.71,4.69,3.46,4.71,4.71,0.43,0.42,0,26.54,0,104296
40,20,1,2,2013.68,5.16,5.16,3.87,5.16,5.16,0,0,0,25,1,56781
40,20,1,3,1429.79,4.76,4.76,3.66,4.76,4.76,0,0,0,23.11,1,117985
40,20,1,4,2905.31,4.86,4.86,3.69,4.86,4.86,0,0,0,24.07,1,223418
40,20,1,5,3600.13,4.99,4.83,3.92,4.99,4.99,3.31,3.21,0,21.44,0,230687
50,12,1,1,3600.35,9.38,6.87,4.47,7.67,7.67,36.54,10.43,18.23,41.72,0,11404
50,12,1,2,3600.08,6.24,6.17,4.61,6.24,6.24,1.13,1.12,0,26.12,0,40266
50,12,1,3,3600.1,6.91,6.81,4.19,6.91,6.91,1.47,1.45,0,39.36,0,6304
50,12,1,4,3600.18,12.71,6.81,4.38,7.16,7.16,86.64,4.89,43.67,38.83,0,2720
50,12,1,5,3600.13,7.44,6.84,4.71,7.06,7.06,8.77,3.12,5.11,33.29,0,3524
50,16,1,1,3600.08,6.09,6.02,4.86,6.09,6.09,1.16,1.15,0,20.2,0,34285
50,16,1,2,3600.4,6.17,6.01,4.24,6.1,6.1,2.66,1.48,1.13,30.49,0,4251
50,16,1,3,3600.25,12.44,5.26,3.85,5.5,5.5,136.5,4.36,55.79,30,0,4737
50,16,1,4,3600.08,5.23,5.01,3.76,5.06,5.06,4.39,0.99,3.25,25.69,0,7429
50,16,1,5,3103.68,5.58,5.58,4.1,5.58,5.58,0,0,0,26.52,1,6473
50,25,1,1,3600.43,8.17,4.89,4.03,5.01,5.01,67.08,2.4,38.68,19.56,0,17489
50,25,1,2,3600.16,54.75,3.63,2.86,3.87,3.87,1408.26,6.2,92.93,26.1,0,6280
50,25,1,3,3600.38,4.8,3.32,2.42,3.38,3.38,44.58,1.78,29.58,28.4,0,18009
