N,density,p,|#|,CPU,GapBUR,GapBUL,GapUBL,GapUL,nod
20,1,5,5,6.12,30.17,0,0,0,206.6
20,1,6,5,5.1,38.88,0,0,0,418.4
20,1,10,5,2.92,27.94,0,0,0,317.6
30,1,7,5,135.67,35.03,0,0,0,944.6
30,1,10,5,37.26,35,0,0,0,1183.6
30,1,15,5,17.79,25.84,0,0,0,447.2
40,1,10,5,366.53,30.94,0,0,0,1191.6
40,1,13,5,350.11,34.56,0,0,0,4394.6
40,1,20,5,215.18,24.03,0,0,0,19623.2
50,1,12,3,2576.82,35.86,1.08,0.54,1.68,4801.6
50,1,16,5,367.01,26.58,0,0,0,462.4
50,1,25,5,119.2,25.46,0,0,0,1522
60,1,15,2,3036.14,31.55,1.33,2.2,3.92,6760.4
60,1,20,5,663.83,27.57,0,0,0,1795.4
60,1,30,4,951.71,24.75,0.05,0,0.05,14143.4
70,1,17,5,2091.34,29.52,0,0,0,591
70,1,23,2,2980.91,30.13,0.24,0.11,0.35,28232.2
70,1,35,4,1558.11,21.2,0,0,0,296100.4
80,1,20,0,3600.97,29.81,3.2,5.86,10.56,138
80,1,26,2,3247.65,25.12,1.71,0.4,2.18,3173
80,1,40,0,3600.25,21.88,1.17,0,1.18,23361.8
90,1,22,0,3602.8,25.69,3.92,18.37,33.68,3321.6
90,1,30,3,2791.34,24.89,0.69,0.19,0.9,577
90,1,45,3,2270.14,20.62,0.38,0,0.38,8391.2
100,1,25,0,3600.59,27.12,5.3,10.3,18.23,1
100,1,33,1,3146.47,24.68,1.65,3.86,6.43,635.6
100,1,50,2,2369.44,17.91,0.6,0,0.6,17158.8
