N,density,p,|#|,CPU,GapBUR,GapBUL,GapUBL,GapUL,nod
20,1,5,5,9.67,30.15,0,0,0,642.2
20,1,6,5,9.16,38.88,0,0,0,1011.2
20,1,10,5,3.78,27.94,0,0,0,167.2
30,1,7,5,97.38,35.03,0,0,0,1278
30,1,10,5,58.26,35,0,0,0,1283.8
30,1,15,5,16.37,25.84,0,0,0,545.4
40,1,10,5,344.56,30.94,0,0,0,2936.4
40,1,13,5,333.48,34.56,0,0,0,3236
40,1,20,5,128.97,24.03,0,0,0,5306.8
50,1,12,5,1903.51,35.86,0,0,0,2370
50,1,16,5,425.58,26.58,0,0,0,1465.6
50,1,25,5,261.16,25.34,0,0,0,4427.4
60,1,15,4,2450.88,31.55,0.53,0.74,1.33,3771.2
60,1,20,5,794.8,27.57,0,0,0,1242
60,1,30,4,932.32,24.75,0.51,0,0.52,24495.2
70,1,17,3,2882.69,29.52,1.42,6.12,9.05,859.6
70,1,23,4,2761.7,30.13,0.21,0.21,0.43,3405.6
70,1,35,4,1047.98,21.14,0.26,0,0.26,7548.8
80,1,20,0,3600.34,29.81,4.98,4.14,10.23,160.6
80,1,26,2,2885.87,25.12,1.31,0.11,1.46,1665.2
80,1,40,3,2176.22,21.88,0.21,0,0.22,14006.4
90,1,22,0,3603.49,25.69,5.86,29.56,54.55,8.2
90,1,30,2,2777.3,24.89,1.59,0,1.64,1114.4
90,1,45,2,2737.79,20.62,1.06,0,1.08,10680.2
100,1,25,0,3601.19,27.12,6.95,34.65,71.17,1
100,1,33,1,3279.68,24.68,3.29,14.15,25.1,323.2
100,1,50,2,2563.29,17.91,0.72,0,0.73,5353.8
