;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;30;1;15;1;0.0;0.0;0.0;27.35;9.317136764526367;5.01;5.01;3.64;5.01;5.01;1;1.0
1;2;30;1;15;1;0.0;0.0;0.0;27.35;9.877155303955078;5.01;5.01;3.64;5.01;5.01;1;29.0
2;1;30;1;15;2;0.0;0.0;0.0;30.4;16.150609970092773;5.79;5.79;4.03;5.79;5.79;1;147.0
3;2;30;1;15;2;0.0;0.0;0.0;30.4;24.62487983703613;5.79;5.79;4.03;5.79;5.79;1;2521.0
4;1;30;1;15;3;0.0;0.0;0.0;13.52;3.5768451690673833;5.62;5.62;4.86;5.62;5.62;1;1.0
5;2;30;1;15;3;0.0;0.0;0.0;13.52;14.300178527832033;5.62;5.62;4.86;5.62;5.62;1;73.0
6;1;30;1;15;4;0.0;0.0;0.0;29.69;46.5894546508789;6.5;6.5;4.57;6.5;6.5;1;2622.0
7;2;30;1;15;4;0.0;0.0;0.0;29.69;48.60511779785156;6.5;6.5;4.57;6.5;6.5;1;2919.0
8;1;30;1;15;5;0.0;0.0;0.0;28.25;40.050703048706055;6.62;6.62;4.75;6.62;6.62;1;2643.0
9;2;30;1;15;5;0.0;0.0;0.0;28.25;62.342506408691406;6.62;6.62;4.75;6.62;6.62;1;2279.0
