;Model;N;density;p;instance;gapUL;gapBUL;gapUBL;gapBUR;CPU;objU;objL;objR;Best objU;Best objL;optimality;Nodes explored
0;1;40;1;20;1;0.0;0.0;0.0;37.03;31.01270198822021;4575.39;4575.39;2881.13;4575.39;4575.39;1;303.0
1;2;40;1;20;1;0.0;0.0;0.0;37.03;117.98497104644777;4575.39;4575.39;2881.13;4575.39;4575.39;1;1478.0
2;3;40;1;20;1;0.0;0.0;0.0;35.04;34.71519708633423;4575.39;4575.39;2971.96;4575.39;4575.39;1;2442.0
3;4;40;1;20;1;61.09;3.41;35.73;37.03;3600.030028104782;7119.45;4419.54;2881.12;4575.39;4575.39;0;127575.0
4;5;40;1;20;1;0.0;0.0;0.0;37.03;1206.5404291152956;4575.39;4575.39;2881.12;4575.39;4575.39;1;38444.0
5;6;40;1;20;1;0.0;0.0;0.0;37.03;19.84028577804565;4575.39;4575.39;2881.12;4575.39;4575.39;1;654.0
6;7;40;1;20;1;0.0;0.0;0.0;37.03;12.289437055587769;4575.39;4575.39;2881.13;4575.39;4575.39;1;1010.0
7;8;40;1;20;1;0.0;0.0;0.0;35.38;5.609252214431763;4575.39;4575.39;2956.76;4575.39;4575.39;1;1.0
8;1;40;1;20;2;0.0;0.0;0.0;22.69;29.407810926437374;2790.38;2790.38;2157.37;2790.37;2790.38;1;154.0
9;2;40;1;20;2;0.0;0.0;0.0;22.69;72.0824341773987;2790.38;2790.38;2157.37;2790.37;2790.38;1;3306.0
10;3;40;1;20;2;0.0;0.0;0.0;21.27;18.064666986465454;2790.38;2790.38;2196.82;2790.37;2790.38;1;1.0
11;4;40;1;20;2;0.0;0.0;0.0;22.69;370.1314558982849;2790.38;2790.38;2157.37;2790.37;2790.38;1;4086.0
12;5;40;1;20;2;0.0;0.0;0.0;22.69;211.15733098983762;2790.38;2790.38;2157.37;2790.37;2790.38;1;2355.0
13;6;40;1;20;2;0.0;0.0;0.0;22.69;8.16226601600647;2790.37;2790.37;2157.37;2790.37;2790.38;1;1.0
14;7;40;1;20;2;0.0;0.0;0.0;22.69;4.798851013183594;2790.37;2790.37;2157.37;2790.37;2790.38;1;1.0
15;8;40;1;20;2;0.0;0.0;0.0;21.35;4.258965969085693;2790.37;2790.37;2194.73;2790.37;2790.38;1;1.0
16;1;40;1;20;3;0.0;0.0;0.0;29.54;88.04464602470398;4688.52;4688.52;3303.75;4688.52;4688.52;1;1587.0
17;2;40;1;20;3;0.0;0.0;0.0;29.54;73.62719416618347;4688.52;4688.52;3303.75;4688.52;4688.52;1;1671.0
18;3;40;1;20;3;0.0;0.0;0.0;27.82;27.33929800987244;4688.52;4688.52;3384.1;4688.52;4688.52;1;39.0
19;4;40;1;20;3;0.0;0.0;0.0;29.54;669.0035569667816;4688.52;4688.52;3303.75;4688.52;4688.52;1;6733.0
20;5;40;1;20;3;0.0;0.0;0.0;29.54;469.36533999443054;4688.52;4688.52;3303.75;4688.52;4688.52;1;3349.0
21;6;40;1;20;3;0.0;0.0;0.0;29.54;8.971481084823607;4688.52;4688.52;3303.75;4688.52;4688.52;1;1.0
22;7;40;1;20;3;0.0;0.0;0.0;29.54;5.466783046722412;4688.52;4688.52;3303.75;4688.52;4688.52;1;1.0
23;8;40;1;20;3;0.0;0.0;0.0;27.94;5.488939046859741;4688.52;4688.52;3378.63;4688.52;4688.52;1;1.0
24;1;40;1;20;4;0.0;0.0;0.0;30.61;441.3865201473236;5887.95;5887.95;4085.61;5887.95;5887.95;1;30960.0
25;2;40;1;20;4;0.0;0.0;0.0;30.61;172.34302186965942;5887.95;5887.95;4085.61;5887.95;5887.95;1;665.0
26;3;40;1;20;4;0.0;0.0;0.0;29.98;162.00828504562378;5887.95;5887.95;4122.59;5887.95;5887.95;1;599.0
27;4;40;1;20;4;109.64;6.17;49.16;30.61;3600.055427789688;11581.99;5524.61;4085.61;5887.95;5887.95;0;202395.0
28;5;40;1;20;4;0.0;0.0;0.0;30.61;757.3976969718933;5887.95;5887.95;4085.61;5887.95;5887.95;1;13534.0
29;6;40;1;20;4;0.0;0.0;0.0;30.61;14.092644929885864;5887.95;5887.95;4085.61;5887.95;5887.95;1;1.0
30;7;40;1;20;4;0.0;0.0;0.0;30.61;11.44292688369751;5887.95;5887.95;4085.61;5887.95;5887.95;1;841.0
31;8;40;1;20;4;0.0;0.0;0.0;29.98;8.701135873794557;5887.95;5887.95;4122.59;5887.95;5887.95;1;1.0
32;1;40;1;20;5;0.0;0.0;0.0;33.83;23.33725881576538;5090.07;5090.07;3368.35;5090.07;5090.07;1;2606.0
33;2;40;1;20;5;0.0;0.0;0.0;33.83;31.8785719871521;5090.07;5089.93;3368.35;5090.07;5090.07;1;6449.0
34;3;40;1;20;5;0.0;0.0;0.0;30.92;67.75034308433533;5090.07;5090.07;3516.11;5090.07;5090.07;1;1600.0
35;4;40;1;20;5;186.75;4.35;63.54;33.83;3600.0532298088074;13960.12;4868.43;3368.35;5090.07;5090.07;0;155474.0
36;5;40;1;20;5;164.82;5.3;60.12;33.83;3600.061288833618;12765.03;4820.22;3368.35;5090.07;5090.07;0;101713.0
37;6;40;1;20;5;0.0;0.0;0.0;33.83;18.147612094879147;5090.07;5090.07;3368.35;5090.07;5090.07;1;757.0
38;7;40;1;20;5;0.0;0.0;0.0;33.83;10.454089879989622;5090.07;5090.07;3368.35;5090.07;5090.07;1;210.0
39;8;40;1;20;5;0.0;0.0;0.0;31.72;7.4266319274902335;5090.07;5090.02;3475.72;5090.07;5090.07;1;1.0
